X,Y,OBJECTID,LM_ID,LM_NAME,CATEGORY,LM_TYPE,SDA_CAT,STR_ADDR,UNIT,MUN,PR,POSTAL,PHONE,WEBSITE,Type,ExtDay,WARDNUM,ROPADRID
-8877647.3889,5405101.9761,98,CC-OTH-238,Childventures Meadowvale Early Learning Academy Inc.,Social Services,Child Care (Other),Child Care Centre,7030 Royal Bank Dr,,Mississauga,ON,L5N 0B6,905-816-1515,https://peelchildcare.cioc.ca/record/CDR0552,Community-Based For-Profit Centre,No,11,
-8864949.1289,5400260.4025,99,CC-YMC-074,Chris Hadfield (YMCA),Social Services,Child Care (YMCA),Child Care Centre,465 Fairview Rd,,Mississauga,ON,L5B 3W7,905-276-9322 ext 202,https://peelchildcare.cioc.ca/record/CDR1357,School-Based Centre,Yes,7,396714
-8871627.4225,5392086.8739,100,CC-PLP-005b,Christ the King (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3240 Garthwood Rd,,Mississauga,ON,L5L 5A3,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0475,School-Based Centre,Yes,8,
-8871668.4144,5392087.5191,101,CC-PLP-005a,Christ the King Early Learning Centre (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3240 Garthwood Rd,,Mississauga,ON,L5L 5A3,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0928,School-Based Centre,No,8,272768
-8877458.2606,5397506.4782,102,CC-YMC-006,Churchill Meadows (YMCA),Social Services,Child Care (YMCA),Child Care Centre,3310 McDowell Dr,,Mississauga,ON,L6R 6R8,416-300-7744,https://peelchildcare.cioc.ca/record/CDR0861,School-Based Centre,Yes,10,287575
-8881126.0938,5412375.25,103,CC-YMC-079,Churchville (YMCA),Social Services,Child Care (YMCA),Child Care Centre,90 Bonnie Braes Dr,,Brampton,ON,L6Y 0Y3,905-943-9622,https://peelchildcare.cioc.ca/record/CDR1398,School-Based Centre,Yes,4,329223
-8880535.2685,5403540.6022,104,CC-OTH-096,Circle of Children Academy,Social Services,Child Care (Other),Child Care Centre,2850 Argentia Rd ,9,Mississauga,ON,L5N 8G4,905-826-4184,https://peelchildcare.cioc.ca/record/CDR0581,Community-Based For-Profit Centre,No,9,
-8868927.9641,5430143.5312,105,CC-PLP-208,Claireville (PLASP),Social Services,Child Care (PLASP),Child Care Centre,97 Gallucci Cres,,Brampton,ON,L6P 1R6,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0788,School-Based Centre,Yes,8,304568
-8874201.2343,5421404.7106,106,CC-PLP-135,Clark Blvd. (PLASP),Social Services,Child Care (PLASP),Child Care Centre,201 Clark Blvd,,Brampton,ON,L6T 2C9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0784,School-Based Centre,Yes,7,190080
-8863387.8406,5390551.571,107,CC-PLP-239,Clarkson (PLASP),Social Services,Child Care (PLASP),Child Care Centre,888 Clarkson Rd S,,Mississauga,ON,L5J 2B9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0661,School-Based Centre,Yes,2,44821
-8865370.9114,5392862.3646,108,CC-OTH-286,Clarkson Angels Child Care and Educational Centre (North),Social Services,Child Care (Other),Child Care Centre,1603 Clarkson Rd,"1,2,3",Mississauga,ON,L5J 2X1,905-823-1603,https://peelchildcare.cioc.ca/record/CDR1299,Community-Based For-Profit Centre,No,2,39920
-8864134.7605,5391404.6726,109,CC-OTH-243,Clarkson Angels Child Care and Educational Centre (South),Social Services,Child Care (Other),Child Care Centre,1146 Clarkson Rd N,,Mississauga,ON,L5J 2W1,905-855-1146,https://peelchildcare.cioc.ca/record/CDR0887,Community-Based For-Profit Centre,No,2,
-8864674.3023,5392402.631,110,CC-OTH-017,Clarkson Co-operative Nursery School,Social Services,Child Care (Other),Child Care Centre,1700 Mazo Cres,,Mississauga,ON,L5J 1Y9,905-855-2106,https://peelchildcare.cioc.ca/record/CDR0569,Community-Based Non-Profit Centre,No,2,139678
-8861167.38,5401290.2225,111,CC-PLP-177,Clifton (PLASP),Social Services,Child Care (PLASP),Child Care Centre,2389 Cliff Rd,,Mississauga,ON,L5A 2P1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0991,School-Based Centre,Yes,7,118130
-8874698.2641,5436921.0292,112,CC-OTH-329,Closer II Home Programs,Social Services,Child Care (Other),Child Care Centre,10 Squire Ellis Dr,,Brampton,ON,L6P 4K6,905-794-9173,https://peelchildcare.cioc.ca/record/CDR1471,Community-Based For-Profit Centre,No,10,419925
-8867685.9823,5432059.3058,113,CC-OTH-212,Closer to Home Child Care,Social Services,Child Care (Other),Child Care Centre,3955 Cottrelle Blvd ,"5,6,7",Brampton,ON,L6P 2P9,905-913-0144,https://peelchildcare.cioc.ca/record/CDR0396,Community-Based For-Profit Centre,No,10,262032
-8876496.0274,5412411.2423,114,CC-FDC-029,Collegeside Early Learning Centre (Family Day Care),Social Services,Child Care (Family Day),Child Care Centre,7899 McLaughlin Rd ,,Brampton,ON,L6V 1G6,905-450-1996,https://peelchildcare.cioc.ca/record/CDR0428,Community-Based Non-Profit Centre,No,4,271146
-8880321.0282,5401714.6,115,CC-OTH-315,Colors at Danton,Social Services,Child Care (Other),Child Care Centre,7025 Danton Prom,7,Mississauga,ON,L5N 5N4,905-824-7922,https://peelchildcare.cioc.ca/record/CDR1416,Community-Based For-Profit Centre,No,9,
-8881773.3379,5421475.8044,116,CC-PLP-134,Conestoga (PLASP),Social Services,Child Care (PLASP),Child Care Centre,300 Conestoga Dr,,Brampton,ON,L6Z 3M1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0755,School-Based Centre,Yes,2,185767
-8867610.8873,5404818.3487,117,CC-PLP-087,Cooksville Creek (PLASP),Social Services,Child Care (PLASP),Child Care Centre,5100 Salishan Cir,,Mississauga,ON,L5R 3E3,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0713,School-Based Centre,Yes,5,296969
-8879154.6139,5411490.0593,118,CC-PLP-178,Copeland (PLASP),Social Services,Child Care (PLASP),Child Care Centre,5 Young Dr,,Brampton,ON,L6Y 0P4,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0789,School-Based Centre,Yes,4,250527
-8865043.5738,5423368.6891,119,CC-PLP-179,Corliss (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3730 Corliss Cres,,Mississauga,ON,L4T 2Z4,905-890-1711,https://peelchildcare.cioc.ca/record/CDR1041,School-Based Centre,No,5,62527
-8866872.4127,5401451.5075,120,CC-YMC-060,Corpus Christi (YMCA),Social Services,Child Care (YMCA),Child Care Centre,4155 Elora Dr,,Mississauga,ON,L6X 0E1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR1353,School-Based Centre,Yes,4,230553
-8860981.5948,5400406.8269,121,CC-PLP-053,Corsair (PLASP),Social Services,Child Care (PLASP),Child Care Centre,2230 Corsair Rd,,Mississauga,ON,L5A 2L9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0685,School-Based Centre,No,7,259398
-8873801.8545,5443811.8719,122,CC-OTH-219,Countryside Montessori and Private School,Social Services,Child Care (Other),Child Care Centre,1 Loring Dr,,Caledon,ON,L7E 1Y1,905-951-3359,https://peelchildcare.cioc.ca/record/CAL0058,Community-Based For-Profit Centre,No,5,287039
-8881336.1096,5428191.3986,123,CC-OTH-306,Countryside Village (PEAL Centres),Social Services,Child Care (Other),Child Care Centre,40 Dolbyhill Dr,,Brampton,ON,L6R 3V8,905-796-4467,https://peelchildcare.cioc.ca/record/CDR1403,School-Based Centre,Yes,9,423161
-8872624.8788,5442706.0638,124,CC-OTH-244,Creative Children's Montessori School,Social Services,Child Care (Other),Child Care Centre,16 Parr Blvd,,Caledon,ON,L7E 4H1,905-951-8606,https://peelchildcare.cioc.ca/record/CAL0268,Community-Based For-Profit Centre,No,5,293753
-8872921.7992,5396754.1734,125,CC-YMC-005,Credit Valley (YMCA),Social Services,Child Care (YMCA),Child Care Centre,2365 Credit Valley Rd,,Mississauga,ON,L5M 4G8,905-828-9295,https://peelchildcare.cioc.ca/record/CDR0499,School-Based Centre,Yes,8,294541
-8874737.1572,5409982.2916,126,CC-YMC-027,Derry West Village (YMCA),Social Services,Child Care (YMCA),Child Care Centre,620 Twain Ave,,Mississauga,ON,L5W 1M1,1-647-273-3514,https://peelchildcare.cioc.ca/record/CDR1090,School-Based Centre,Yes,11,304035
-8881509.9598,5400020.6225,127,CC-YMC-010,Derry Woods YMCA,Social Services,Child Care (YMCA),Child Care Centre,6970 Lisgar Dr,,Mississauga,ON,L5N 8C8,905-824-3692,https://peelchildcare.cioc.ca/record/CDR0559,Community-Based Non-Profit Centre,No,10,
-8880882.6619,5398924.074,128,CC-OTH-246,Discovery Montessori - Ninth Line Campus (The),Social Services,Child Care (Other),Child Care Centre,6553 Ninth Line,,Mississauga,ON,L5N 7B9,905-824-9246,https://peelchildcare.cioc.ca/record/CDR0594,Community-Based For-Profit Centre,No,10,160110
-8874851.9565,5397573.1049,129,CC-PLP-029,Divine Mercy (PLASP),Social Services,Child Care (PLASP),Child Care Centre,2840 Duncairn Dr,,Mississauga,ON,L5M 5C6,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0707,School-Based Centre,Yes,9,284143
-8860615.0505,5404991.7022,130,CC-PLP-091,Dixie (PLASP),Social Services,Child Care (PLASP),Child Care Centre,1120 Flagship Dr,,Mississauga,ON,L4Y 2K1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0686,School-Based Centre,Yes,3,109716
-8889284.0194,5418008.8633,131,CC-YMC-081,Dolson (YMCA),Social Services,Child Care (YMCA),Child Care Centre,90 Remembrance Rd,,Brampton,ON,L7A 0A7,647-990-3338,https://peelchildcare.cioc.ca/record/CDR1650,School-Based Centre,Yes,6,
-8872049.5308,5421610.6276,132,CC-PLP-137,Dorset Drive (PLASP),Social Services,Child Care (PLASP),Child Care Centre,100 Dorset Dr,,Brampton,ON,L6T 2Y9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0745,School-Based Centre,Yes,7,68794
-8864450.4801,5422678.0179,133,CC-PLP-180,Dunrankin Drive (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3700 Dunrankin Dr,,Mississauga,ON,L4T 1V9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR1138,School-Based Centre,Yes,5,16709
-8879745.7903,5417993.2616,134,CC-OTH-366,EYE Childcare Brampton 320,Social Services,Child Care (Other),Child Care Centre,320 Main St N,14,Brampton,ON,L6V4A3,905-459-5439,https://peel.cioc.ca/record/CDR1796,Community-Based For-Profit Centre,No,1,314876
-8876896.5458,5430458.5836,135,CC-PLP-209,Eagle Plains (PLASP),Social Services,Child Care (PLASP),Child Care Centre,40 Eagle Plains Dr,,Brampton,ON,L6R 2X8,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0796,School-Based Centre,No,10,309520
-8875902.7978,5445816.6598,136,CC-OTH-355,Early Learners' Montessori School - Bolton,Social Services,Child Care (Other),Child Care Centre,81 Ellwood Dr W,,Caledon,ON,L7E 4W8,905-857-1700,https://peel.cioc.ca/record/CDR1751,Community-Based For-Profit Centre,No,5,254536
-8868157.9746,5395455.7235,137,CC-OTH-035,Early Learning Centre - University of Toronto-Mississauga (UTM),Social Services,Child Care (Other),Child Care Centre,3359 Mississauga Rd,,Mississauga,ON,L5C 1C6,905-569-4422,https://peelchildcare.cioc.ca/record/CDR0496,Community-Based Non-Profit Centre,No,8,
-8871741.7676,5422501.0858,138,CC-PLP-142,Eastbourne (PLASP),Social Services,Child Care (PLASP),Child Care Centre,702 Balmoral Dr,,Brampton,ON,L6T 1X3,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0743,School-Based Centre,Yes,7,241601
-8878843.0338,5400570.4494,139,CC-OTH-055,Eden Day Care Inc.,Social Services,Child Care (Other),Child Care Centre,3051 Battleford Rd,,Mississauga,ON,L5N 5Z9,905-824-5153,https://peelchildcare.cioc.ca/record/CDR0519,Community-Based Non-Profit Centre,No,9,12007
-8884221.2626,5418461.5734,140,CC-YMC-018,Edenbrook Hill (YMCA),Social Services,Child Care (YMCA),Child Care Centre,61 Edenbrook Hill Dr,,Brampton,ON,L7A 1X6,905-451-1400 ext 483,https://peelchildcare.cioc.ca/record/CDR0732,School-Based Centre,Yes,6,248807
-8869455.1093,5400559.4545,141,CC-PLP-052b,Edenrose (PLASP),Social Services,Child Care (PLASP),Child Care Centre,1342 Edenrose St,,Mississauga,ON,L5V 1K9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0708,School-Based Centre,Yes,6,272734
-8869456.5877,5400523.785,142,CC-PLP-052a,Edenrose Early Learning Centre (PLASP),Social Services,Child Care (PLASP),Child Care Centre,1342 Edenrose St,,Mississauga,ON,L5V 1K9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0555,School-Based Centre,No,6,
-8860013.1768,5406998.3386,143,CC-OTH-126,Educare Children's Centre,Social Services,Child Care (Other),Child Care Centre,1615 Bloor St,,Mississauga,ON,L4X 1S2,905-625-7871,https://peelchildcare.cioc.ca/record/CDR0444,Community-Based Non-Profit Centre,No,3,239153
-8876405.0635,5416943.3248,144,CC-OTH-349,Eh to Zed Preschool Canada Early Learning Academy,Social Services,Child Care (Other),Child Care Centre,17 Dean St,,Brampton,ON,L6W 1M7,647-302-8553,https://peelchildcare.cioc.ca/record/CDR1712,Community-Based For-Profit Centre,No,3,46608
-8867633.3427,5429397.3066,145,CC-OTH-301,Eh to Zed Preschool Canada Learning Academy,Social Services,Child Care (Other),Child Care Centre,8814 The Gore Rd,1,Brampton,ON,L6P 0B1,905-794-2929,https://peelchildcare.cioc.ca/record/CDR1392,Community-Based For-Profit Centre,No,8,419973
-8881011.9467,5409136.6443,146,CC-FDC-025,Eldorado (Family Day Care),Social Services,Child Care (Family Day),Child Care Centre,25 Wardsville Dr,,Brampton,ON,L5H 3J1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR1329,School-Based Centre,Yes,4,275349
-8875878.0076,5403245.2492,147,CC-OTH-100,Elite Montessori School,Social Services,Child Care (Other),Child Care Centre,6395 Mississauga Rd,,Mississauga,ON,L5N 1A5,905-567-6600,https://peelchildcare.cioc.ca/record/CDR0544,Community-Based For-Profit Centre,No,11,351151
-8867614.2421,5398122.9249,148,CC-FDC-028,Ellengale (Family Day Care),Social Services,Child Care (Family Day),Child Care Centre,3480 Ellengale Dr,,Mississauga,ON,L5C 1Z7,905-279-1555,https://peelchildcare.cioc.ca/record/CDR1035,School-Based Centre,Yes,6,23756
-8875426.7424,5446155.0471,149,CC-YMC-023,Ellwood (YMCA),Social Services,Child Care (YMCA),Child Care Centre,35 Ellwood Dr E,,Caledon,ON,L7E 2A7,416-454-5535,https://peelchildcare.cioc.ca/record/CDR0600,School-Based Centre,Yes,5,350922
-8869403.4906,5394049.2716,150,CC-OTH-024,Erin Mills Co-Op Nursery,Social Services,Child Care (Other),Child Care Centre,2264 Council Ring Rd,,Mississauga,ON,L5L 1B7,905-820-5599,https://peelchildcare.cioc.ca/record/CDR0467,Community-Based Non-Profit Centre,No,8,308060
-8865907.5236,5397170.7947,151,CC-OTH-361,Erindale Early Education Academy,Social Services,Child Care (Other),Child Care Centre,1133 Dundas St W,,Mississauga,ON,L5C1C4,905-803-1133,https://peel.cioc.ca/record/CDR1783?Number=0,Community-Based For-Profit Centre,No,6,311315
-8880773.2992,5424162.2161,152,CC-FDC-036,Esker Lake Early Learning and Child Care Centre,Social Services,Child Care (Family Day),Child Care Centre,10420 Heart Lake Rd,,Brampton,ON,L6Z 4S2,905-840-5442,https://peelchildcare.cioc.ca/record/CDR0405?Number=7,School-Based Centre,Yes,2,259836
-8859629.4788,5398199.6773,153,CC-OTH-016,Eureka Kids,Social Services,Child Care (Other),Child Care Centre,130 Mineola Rd E,,Mississauga,ON,L5G 2E7,905-838-0209,https://peelchildcare.cioc.ca/record/CDR0588,Community-Based For-Profit Centre,No,1,
-8859653.6303,5395850.7054,154,CC-OTH-034,FUN School,Social Services,Child Care (Other),Child Care Centre,44 Port St W,,Mississauga,ON,L5H 1C9,905-274-4386,https://peelchildcare.cioc.ca/record/CDR0586,Community-Based Non-Profit Centre,No,1,
-8875045.9806,5429599.4049,155,CC-FDC-013,Fairlawn (Family Day Care),Social Services,Child Care (Family Day),Child Care Centre,40 Fairlawn Blvd,,Brampton,ON,L6P 2X4,416-922-3434,https://peelchildcare.cioc.ca/record/CDR1033,School-Based Centre,Yes,2,390124
-8865124.9326,5402000.6647,156,CC-PLP-068,Fairview (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3590 Joan Dr,,Mississauga,ON,L5B 1T8,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0688,School-Based Centre,Yes,7,266407
-8868385.8722,5404593.3082,157,CC-PLP-228,Fairwind Early Early Learning Centre (PLASP),Social Services,Child Care (PLASP),Child Care Centre,5235 Fairwind Dr,,Mississauga,ON,L5R 3L2,905-712-4077,https://peelchildcare.cioc.ca/record/CDR0556,School-Based Centre,No,5,308594
-8875440.242,5404041.0252,158,CC-YMC-072,Falconer (YMCA),Social Services,Child Care (YMCA),Child Care Centre,114 Falconer Dr,,Mississauga,ON,L5N 1B4,905-813-1944,https://peelchildcare.cioc.ca/record/CDR0536,Community-Based Non-Profit Centre,No,11,
-8873267.772,5422676.2953,159,CC-PLP-181,Fallingdale (PLASP),Social Services,Child Care (PLASP),Child Care Centre,510 Clark Blvd,,Brampton,ON,L6T 2E4,905-890-1711,https://peelchildcare.cioc.ca/record/CDR1051,School-Based Centre,Yes,8,181497
-8873065.0256,5444380.7434,160,CC-OTH-341,Family Tree Child Care Centre Ltd.,Social Services,Child Care (Other),Child Care Centre,194 McEwan Dr E,2,Caledon,ON,L7E 4E5,905-951-7878,https://peelchildcare.cioc.ca/record/CDR1640,Community-Based For-Profit Centre,No,5,19283
-8877390.93,5420072.0424,161,CC-PLP-129,Father C.W. Sullivan (PLASP),Social Services,Child Care (PLASP),Child Care Centre,62 Seaborn Rd,,Brampton,ON,L6V 2C1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0749,School-Based Centre,No,1,63600
-8875691.8831,5429123.6331,162,CC-PLP-167,Father Clair Tipping (PLASP),Social Services,Child Care (PLASP),Child Care Centre,25 Mountainberry Rd,,Brampton,ON,L6R 1J3,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0741,School-Based Centre,Yes,10,267845
-8864429.7275,5399585.2033,163,CC-PLP-210,Father Daniel Zanon (PLASP),Social Services,Child Care (PLASP),Child Care Centre,450 Hillcrest Ave,,Mississauga,ON,L5B 4J3,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0679,School-Based Centre,Yes,7,323755
-8871983.3947,5430624.6277,164,CC-YMC-028,Father Francis McSpiritt (YMCA),Social Services,Child Care (YMCA),Child Care Centre,55 Lexington Rd,,Brampton,ON,L6P 2B1,905-451-1400 ext 483,https://peelchildcare.cioc.ca/record/CDR0847,School-Based Centre,Yes,8,287917
-8865140.0631,5400966.3105,165,CC-PLP-060,Father Michael Goetz Early Learning Centre (PLASP),Social Services,Child Care (PLASP),Child Care Centre,330 Central Pky W,,Mississauga,ON,L5B 3K6,905-615-0236,https://peelchildcare.cioc.ca/record/CDR0483,School-Based Centre,No,7,
-8878596.9532,5426286.6525,166,CC-PLP-162,Fernforest (PLASP),Social Services,Child Care (PLASP),Child Care Centre,275 Fernforest Dr,,Brampton,ON,L6R 1L9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0762,School-Based Centre,Yes,9,218160
-8877689.7148,5423758.1107,167,CC-OTH-248,First Friends Preschool and Daycare,Social Services,Child Care (Other),Child Care Centre,860 North Park Dr ,12,Brampton,ON,L6S 4N5,905-457-8444,https://peelchildcare.cioc.ca/record/CDR0806,Community-Based For-Profit Centre,No,7,293523
-8875550.2939,5412722.7658,168,CC-OTH-144,Fletcher's Creek (Fletcher's Creek Children's Centre),Social Services,Child Care (Other),Child Care Centre,92 Malta Ave,,Brampton,ON,L6Y 4C8,905-452-9299,https://peelchildcare.cioc.ca/record/CDR0407,School-Based Centre,Yes,4,200725
-8862770.7758,5399379.6528,169,CC-PLP-043,Floradale (PLASP),Social Services,Child Care (PLASP),Child Care Centre,210 Paisley Blvd W,,Mississauga,ON,L5B 2A4,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0695,School-Based Centre,Yes,7,23062
-8872899.5073,5423765.2554,170,CC-PLP-152,Folkstone (PLASP),Social Services,Child Care (PLASP),Child Care Centre,104 Folkstone Cres,,Brampton,ON,L6T 3M5,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0747,School-Based Centre,Yes,8,187846
-8859058.3852,5397299.8828,171,CC-PLP-028,Forest Ave. (PLASP),Social Services,Child Care (PLASP),Child Care Centre,20 Forest Ave,,Mississauga,ON,L5G 1K7,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0836,School-Based Centre,Yes,1,138997
-8859806.9946,5407954.102,172,CC-PLP-102,Forest Glen (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3400 Ponytrail Dr,,Mississauga,ON,L4X 1V5,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0687,School-Based Centre,Yes,3,28640
-8866674.0099,5405589.8714,173,CC-OTH-113,Forum Italia,Social Services,Child Care (Other),Child Care Centre,195 Forum Dr,,Mississauga,ON,L4Z 3M5,905-507-2713,https://peelchildcare.cioc.ca/record/CDR0503,Community-Based Non-Profit Centre,No,5,
-8876233.5668,5404208.0135,174,CC-OTH-104,Fun to Learn Montessori,Social Services,Child Care (Other),Child Care Centre,1840 Argentia Rd,,Mississauga,ON,L5N 1P9,905-812-9606,https://peelchildcare.cioc.ca/record/CDR0547,Community-Based For-Profit Centre,No,11,275331
-8865259.5963,5396545.8729,175,CC-OTH-321,Fun to Learn Montessori - Erindale,Social Services,Child Care (Other),Child Care Centre,2438 Glengarry Rd,,Mississauga,ON,L5C 1Y2,905-276-9606,https://peelchildcare.cioc.ca/record/CDR1443,Community-Based For-Profit Centre,No,7,218609
-8873922.9037,5408746.4331,176,CC-OTH-331,Garderie Cercle de l'amitie Mississauga (Le Flambeau),Social Services,Child Care (French),Child Care Centre,600 Novo Star Dr,,Mississauga,ON,L5W 1G4,905-403-1587,https://peelchildcare.cioc.ca/record/CDR1484,School-Based Centre,Yes,11,398715
-8880194.293,5420213.8739,177,CC-OTH-172,Garderie Du Cercle De L'Amitie (Carrefour des Jeunes),Social Services,Child Care (French),Child Care Centre,375 Centre St N,,Brampton,ON,L6V 4N4,905-459-8008,https://peelchildcare.cioc.ca/record/MAL0127,School-Based Centre,Yes,1,297672
-8866014.8194,5390954.9439,178,CC-OTH-343,Garderie La Fontaine de l'Amitie,Social Services,Child Care (Other),Child Care Centre,1445 Lewisham Dr,,Mississauga,ON,L5J 3R2,647-834-5503,https://peelchildcare.cioc.ca/record/CDR1652,School-Based Centre,Yes,2,41564
-8871399.2655,5392042.6756,179,CC-YMC-002,Garthwood Park (YMCA),Social Services,Child Care (YMCA),Child Care Centre,3245 Colonial Dr,,Mississauga,ON,L5L 4K3,905-607-2670,https://peelchildcare.cioc.ca/record/CDR0469,School-Based Centre,Yes,8,
-8873448.1018,5423383.9659,180,CC-PLP-150,Georges Vanier (PLASP),Social Services,Child Care (PLASP),Child Care Centre,28 Finchgate Blvd,,Brampton,ON,L6T 3H9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0764,School-Based Centre,Yes,8,172608
-8867081.1674,5430673.3429,181,CC-OTH-278,Giant Leap,Social Services,Child Care (Other),Child Care Centre,8930 Hwy 50,,Brampton,ON,L6P 3A5,647-367-9321,https://peelchildcare.cioc.ca/record/CDR1130,Community-Based For-Profit Centre,Yes,8,336421
-8880678.8731,5417196.9959,182,CC-PLP-120,Glendale (PLASP),Social Services,Child Care (PLASP),Child Care Centre,35 Sunset Blvd,,Brampton,ON,L6X 1X1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0757,School-Based Centre,Yes,1,231024
-8861979.166,5404178.2146,183,CC-OTH-105,Glenroy Preschool Centre,Social Services,Child Care (Other),Child Care Centre,755 Bloor St,,Mississauga,ON,L4Y 2M7,905-277-3323,https://peelchildcare.cioc.ca/record/CDR0448,Community-Based For-Profit Centre,No,3,
-8874489.3791,5423753.4002,184,CC-YMC-030,Goldcrest (YMCA),Social Services,Child Care (YMCA),Child Care Centre,24 Goldcrest Rd,,Brampton,ON,L6S 1G3,905-943-9622 ext 750,https://peelchildcare.cioc.ca/record/CDR1056,School-Based Centre,Yes,8,77366
-8861921.239,5406589.6892,185,CC-OTH-120,Golden Orchard Montessori School,Social Services,Child Care (Other),Child Care Centre,1170 Tynegrove Rd,,Mississauga,ON,L4W 3B2,905-629-7555,https://peelchildcare.cioc.ca/record/CDR0447,Community-Based For-Profit Centre,No,3,30726
-8877341.3792,5427807.6541,186,CC-PLP-166,Good Shepherd (PLASP),Social Services,Child Care (PLASP),Child Care Centre,28 Red River Dr,,Brampton,ON,L6R 2H9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0772,School-Based Centre,Yes,9,329656
-8879746.2765,5424784.4559,187,CC-YMC-055,Great Lakes (YMCA),Social Services,Child Care (YMCA),Child Care Centre,285 Great Lakes Dr,,Brampton,ON,L6R 2R8,905-451-1400 ext 483,https://peelchildcare.cioc.ca/record/CDR0892,School-Based Centre,Yes,9,279800
-8874104.6656,5425007.2644,188,CC-YMC-031,Grenoble (YMCA),Social Services,Child Care (YMCA),Child Care Centre,33 Greenbriar Rd,,Brampton,ON,L6S 1V8,905-943-9622 ext 750,https://peelchildcare.cioc.ca/record/CDR1055,School-Based Centre,Yes,8,177206
-8885455.2362,5417065.3561,189,CC-PLP-119,Guardian Angels (PLASP),Social Services,Child Care (PLASP),Child Care Centre,62 Heatherdale Dr,,Brampton,ON,L7A 2H4,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0776,School-Based Centre,Yes,6,225169
-8876441.4497,5403483.6947,190,CC-OTH-324,Hakuna Matata Child Care Centre Inc.,Social Services,Child Care (Other),Child Care Centre,6549 Mississauga Rd,A&B,Mississauga,ON,L5N 1A6,905-542-0005,https://peelchildcare.cioc.ca/record/CDR1450,Community-Based For-Profit Centre,No,11,297610
-8875387.5361,5422034.4461,191,CC-PLP-139,Hanover (PLASP),Social Services,Child Care (PLASP),Child Care Centre,215 Hanover Rd,,Brampton,ON,L6S 1B6,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0750,School-Based Centre,Yes,7,55521
-8863913.1395,5401624.7808,192,CC-YMC-068,Hanson Road (YMCA),Social Services,Child Care (YMCA),Child Care Centre,30 Hanson Rd,,Mississauga,ON,L5B 3A7,905-270-4137,https://peelchildcare.cioc.ca/record/CDR0446,Community-Based Non-Profit Centre,No,7,4788
-8877366.1225,5419798.5038,193,CC-OTH-169,Happy Life Centre,Social Services,Child Care (Other),Child Care Centre,68 Rutherford Rd N,,Brampton,ON,L6V 2J1,905-457-1581,https://peelchildcare.cioc.ca/record/CDR0408,Community-Based Non-Profit Centre,No,1,
-8877458.7825,5420456.6933,194,CC-YMC-061,Harold F. Loughlin (YMCA),Social Services,Child Care (YMCA),Child Care Centre,39 Herkley Dr,,Brampton,ON,L5B 2M4,1-866-943-9622,https://peelchildcare.cioc.ca/record/CDR1162,School-Based Centre,Yes,1,390045
-8864914.8585,5397272.8576,195,CC-PLP-027,Hawthorn (PLASP),Social Services,Child Care (PLASP),Child Care Centre,2473 Rosemary Dr,,Mississauga,ON,L5C 1X1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0649,School-Based Centre,Yes,7,121196
